url,resolved_url,domain,content,content_hash,word_count,status_code,response_time,error,scraped_at,title,author,date,source
https://t.co/hZlpeZgEj7,https://t.co/hZlpeZgEj7,,"Annonce Debatindlæg af Mathilde Colbjørn Holst Jurastuderende og medlem af Liberal Alliances Ungdom Bruden ledsages af sin far til alteret, bærer hvid kjole og udsættes for en hyperfiksering på udseendet – alt sammen symboler på kvinders underordnede status i bryllupstraditionen. 23-årig kvinde: Bryllupstraditionerne er trættende – tag for eksempel brudekjolen Debatindlæg 17. marts 2025, 17.33 Dette er et debatindlæg. Indlægget er udtryk for skribentens holdning. Alle holdninger, som kan udtrykk...",,211,0,0.0,already_scraped,2025-07-08T00:10:20.672448,23-årig kvinde: Bryllupstraditionerne er trættende – tag for eksempel brudekjolen,,,old_facebook
https://l.facebook.com/l.php?u=http%3A%2F%2Fmercedes-benz.dk%2F%3Ffbclid%3DIwZXh0bgNhZW0CMTEAAR1k0n3-CvW0FEPovr3R1fLrLA0lhoGqSVEa1OM51lXtMmLoVU7hpOnN_68_aem_EGh_AOYNiHKa5c82Mrd4Mw&h=AT1SKauhCaOWhovoRjjE7_RL6a27uoyKwkvb-iFGBvHZ6WNCN_966fAiDzK6KurMpEqM7Ghs19IzIG95Q_iqN0Iruo7Hgu4CkA1XomX1Is4d6exxzZLO7FinQjuiHQ&s=1&__wblt=1,https://l.facebook.com/l.php?u=http%3A%2F%2Fmercedes-benz.dk%2F%3Ffbclid%3DIwZXh0bgNhZW0CMTEAAR1k0n3-CvW0FEPovr3R1fLrLA0lhoGqSVEa1OM51lXtMmLoVU7hpOnN_68_aem_EGh_AOYNiHKa5c82Mrd4Mw&h=AT1SKauhCaOWhovoRjjE7_RL6a27uoyKwkvb-iFGBvHZ6WNCN_966fAiDzK6KurMpEqM7Ghs19IzIG95Q_iqN0Iruo7Hgu4CkA1XomX1Is4d6exxzZLO7FinQjuiHQ&s=1&__wblt=1,l.facebook.com,"Facebook E-mail eller telefon Adgangskode Har du glemt din konto? Opret ny konto Du er blevet midlertidigt blokeret Du er blevet midlertidigt blokeret Det ser ud til, at du har misbrugt denne funktion ved at gå for hurtigt frem. Du er blevet midlertidigt blokeret og kan ikke bruge den. Back Dansk English (US) Polski العربية Føroyskt Türkçe Deutsch Română Français (France) Español Português (Brasil) Opret profil Log på Messenger Facebook Lite Video Meta Pay Meta Butik Meta Quest Ray-Ban Meta Meta...",,118,400,0.0,http_400,2025-07-07T20:00:57.881060,Facebook,,,old_facebook
https://www.bt.dk/krimi/tidligere-minister-tiltalt-besiddelse-af-billeder-og-videoer-med-overgreb-paa-boern,https://www.bt.dk/krimi/tidligere-minister-tiltalt-besiddelse-af-billeder-og-videoer-med-overgreb-paa-boern,www.bt.dk,"Krimi 21. mar. kl. 12.17 Tidligere minister tiltalt: Besiddelse af billeder og videoer med overgreb på børn Den tiltalte mand har i mange år haft sin daglige gang Christiansborg. Thomas Traasdahl/Ritzau Scanpix Thomas Riber-Sellebjerg Birger A. Andersen Journalist En tidligere minister og nuværende topchef i erhvervslivet er tiltalt for at besidde omfattende og særdeles groft billedmateriale, der viser seksuelle krænkelser af børn. Det skriver Berlingske . B.T. er bekendt med den tidligere minis...",89d24ba65b7c911927f582660af67004,324,200,1.915796041488648,,2025-07-08T00:46:56.879892,Tidligere minister tiltalt: Besiddelse af billeder og videoer med overgreb på børn | B.T.,,2025-03-21T11:17:42.000Z,old_facebook
https://x.com/arutherfordni/status/1802470654442123372?s=46https://x.com/arutherfordni/status/1802470654442123372?s=46jun.,https://x.com/arutherfordni/status/1802470654442123372?s=46https://x.com/arutherfordni/status/1802470654442123372?s=46jun.,x.com,"JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Some privacy related extensions may cause issues on x.com. Please disable them and try again....",,83,200,0.0,duplicate_content,2025-07-08T02:31:24.734085,,,,old_facebook
https://t.co/N8LmdiYwLG,https://t.co/N8LmdiYwLG,t.co,"JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Some privacy related extensions may cause issues on x.com. Please disable them and try again....",a99fdd33f6a4a921c78d2e1262f017d1,83,200,0.231436014175415,,2025-07-07T17:03:16.886597,,,,old_facebook
http://jyllands-posten.dk/livsstil/madvin/ECE4076501/roedvin-lige-sa-sundt-som-fiskeolie/Opdateret,https://jyllands-posten.dk/livsstil/madvin/ECE4076501/roedvin-lige-saa-sundt-som-fiskeolie,jyllands-posten.dk,"Rødvin lige så sundt som fiskeolie
<p>Forskerholdet mener hermed at have fundet en del af forklaringen på den allerede kendte viden om, at rødvin synes at virke forebyggende på hjertesygdomme.</p>
En undersøgelse blandt 802 mand/kvinde-par viser, at daglig indtagelse af små mængder alkohol får omega 3-fedtsyre-indholdet i blodet til at stige, skriver forskere fra det katolske universitet i Campobasso i Italien i the American Journal of Clinical Nutrition.
Det er den samme fedtsyre, som findes i ...",d6fe7156ba9f8297cace3a7c30ac7da1,176,200,1.6726117134094238,,2025-07-07T16:30:16.241601,,,,old_facebook
https://l.facebook.com/l.php?u=https%3A%2F%2Fhavehandel.dk%2Fprodukt%2Fskraldespandsskjuler-i-cortenstaal%2F%3Fattribute_indvendig-bredde%3DEkstra%2Bfrontplade%2B%2528tilk%25C3%25B8b%2529%26utm_source%3DGoogle%2BShopping%26utm_campaign%3DShopping%2Bads%26utm_medium%3Dcpc%26utm_term%3D336346%26fbclid%3DIwZXh0bgNhZW0BMABhZGlkAasYB_zvA4YBHR5Z2Rpqf3-jxKaIGHYAkPux464P_sofIejg8FjihZ2xptcwctRLfucyMg_aem_59q2h91nRIYjFnCGmV8VxQ&h=AT0dMBd889h_-_KAmlmF7DDKsocIQpfLt773wQ1TuiCFPcAR07jWgI6P3F9i1uOm4fwA3CCHcaukRc5MCAqmKwsvv08rA7ZLKk4w7jEmtK86w9I4SQDNuv6XFT2UoA&s=1&__wblt=1,https://l.facebook.com/l.php?u=https%3A%2F%2Fhavehandel.dk%2Fprodukt%2Fskraldespandsskjuler-i-cortenstaal%2F%3Fattribute_indvendig-bredde%3DEkstra%2Bfrontplade%2B%2528tilk%25C3%25B8b%2529%26utm_source%3DGoogle%2BShopping%26utm_campaign%3DShopping%2Bads%26utm_medium%3Dcpc%26utm_term%3D336346%26fbclid%3DIwZXh0bgNhZW0BMABhZGlkAasYB_zvA4YBHR5Z2Rpqf3-jxKaIGHYAkPux464P_sofIejg8FjihZ2xptcwctRLfucyMg_aem_59q2h91nRIYjFnCGmV8VxQ&h=AT0dMBd889h_-_KAmlmF7DDKsocIQpfLt773wQ1TuiCFPcAR07jWgI6P3F9i1uOm4fwA3CCHcaukRc5MCAqmKwsvv08rA7ZLKk4w7jEmtK86w9I4SQDNuv6XFT2UoA&s=1&__wblt=1,l.facebook.com,"Facebook E-mail eller telefon Adgangskode Har du glemt din konto? Opret ny konto Du er blevet midlertidigt blokeret Du er blevet midlertidigt blokeret Det ser ud til, at du har misbrugt denne funktion ved at gå for hurtigt frem. Du er blevet midlertidigt blokeret og kan ikke bruge den. Back Dansk English (US) Polski العربية Føroyskt Türkçe Deutsch Română Français (France) Español Português (Brasil) Opret profil Log på Messenger Facebook Lite Video Meta Pay Meta Butik Meta Quest Ray-Ban Meta Meta...",,118,400,0.0,http_400,2025-07-08T04:59:40.232503,Facebook,,,old_facebook
https://babelfisken.dk/2022/08/16/farvel-til-to-begavede-redaktoerer-og-goddag-til-en-ny/,https://babelfisken.dk/2022/08/16/farvel-til-to-begavede-redaktoerer-og-goddag-til-en-ny/,babelfisken.dk,"Farvel til to begavede redaktører – og goddag til en ny af BabelfiskenJW | aug 16, 2022 | Nyheder og begivenheder | 2 Kommentarer Mette Olesen Over sommeren besluttede to af Babelfiskens redaktører at sige farvel og tak. Mette Olesen har været med i redaktionen i over 10 år, stort set helt fra begyndelsen, da Sara Koch startede bloggen “Oversætteren”. Ikke længe efter at Mette kom med , skiftede bloggen navn og blev til et online tidsskrift, og lige siden har Mette fra sit hjem i Lyon i Frankrig...",01e62fbea35be8fdd695380974a83654,415,200,2.2174015045166016,,2025-07-07T16:53:12.851567,Farvel til to begavede redaktører – og goddag til en ny | Babelfisken,,,old_facebook
https://docs.google.com/document/u/0/d/1bS8EYAZpNl7sSuq7wLDjLrD5IV0Dl3YE-hcnngaMBms/edit,https://docs.google.com/document/u/0/d/1bS8EYAZpNl7sSuq7wLDjLrD5IV0Dl3YE-hcnngaMBms/edit,docs.google.com,"Denne fil kan ikke åbnes, da JavaScript ikke er aktiveret i din browser. Aktivér JavaScript, og genindlæs filen. Denne browserversion understøttes ikke længere. Opgrader til en understøttet browser. Boldons Arena! Tab Eksterne Del Log ind Fil Rediger Visning Indsæt Formatér Værktøjer Udvidelser Hjælp Hjælpefunktioner Fejlretning Ændringer, som ikke blev gemt i Drev Billedindstillinger Udskift billede Tabelindstillinger Hjælpefunktioner...",,57,200,0.0,duplicate_content,2025-07-07T19:58:36.606283,Boldons Arena! - Google Docs,,,old_facebook
http://ekstrabladet.dk/nyheder/krigogkatastrofer/article4919588.ece,http://ekstrabladet.dk/nyheder/krigogkatastrofer/article4919588.ece,,"Krig & katastrofer ... 11. jul. 2014 kl. 18:15 Gem artikel Gemt artikel Klapper af bomber fra havestole Når bomber rammer Gaza, bliver der klappet og spist popcorn på en nærliggende bakke Der spises popcorn og bliver klappet, når bomber rammer Gaza. (Foto: AP/Lefteris Pitarakis) Annonce: Af Kim Vangkilde Husk den gode tone! På Ekstra Bladet lægger vi stor vægt på at have en tæt dialog med jer læsere. Jeres input er guld
                  værd, og mange historier ville ikke kunne lade sig gøre ud...",,637,0,0.0,already_scraped,2025-07-07T21:51:33.950916,Klapper af bomber fra havestole – Ekstra Bladet,,2014-07-11T16:15:29Z,old_facebook
http://ekstrabladet.dk/biler/article1671055.ece,https://ekstrabladet.dk/biler/article4754408.ece,ekstrabladet.dk,"I årernes løb har vi set flere bud på hurtige politibiler, men den her slår dem alle.
Det tyske tuningsfirma ABT har nemlig lanceret deres nyeste blikfang, og at dømme ud fra billederne ligner det en politibil sendt direkte fra helvede.
SE OGSÅ:
[Så fedt lyder den nye Bentley](http://ekstrabladet.dk/biler/bil_nyheder/article1669648.ece)
Bilen er en Audi R8 V10, som ABT har tunet til deres GTR trim, hvilket betyder, at den 5,2 liters V10-motor nu yder 620 hestekræfter.
Bagefter har de givet den e...",8d274e6f057fa21949546602a51eaf5f,215,200,0.765538215637207,,2025-07-07T21:09:42.669474,,,,old_facebook
https://t.co/F1YFfgcent,https://t.co/F1YFfgcent,,"JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Some privacy related extensions may cause issues on x.com. Please disable them and try again....",,83,0,0.0,already_scraped,2025-07-08T01:28:13.082427,,,,old_facebook
https://t.co/pzitHUPxS6,https://t.co/pzitHUPxS6,,"JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Some privacy related extensions may cause issues on x.com. Please disable them and try again....",,83,0,0.0,already_scraped,2025-07-08T01:33:19.939197,,,,old_facebook
https://t.co/hZt4inCxDO,https://t.co/hZt4inCxDO,,"JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Some privacy related extensions may cause issues on x.com. Please disable them and try again....",,83,0,0.0,already_scraped,2025-07-08T00:10:22.673302,,,,old_facebook
https://t.co/0h0RzABYAO,https://t.co/0h0RzABYAO,t.co,"JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Some privacy related extensions may cause issues on x.com. Please disable them and try again....",e8b788ceabc05398216ea88ebdd24e48,83,200,0.1716604232788086,,2025-07-07T23:45:08.642081,,,,old_facebook
https://t.co/nMcVI8J2Ls,https://t.co/nMcVI8J2Ls,,"JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Some privacy related extensions may cause issues on x.com. Please disable them and try again....",,83,0,0.0,already_scraped,2025-07-08T01:15:14.509612,,,,old_facebook
https://t.co/e9GyNYPTEr,https://t.co/e9GyNYPTEr,,"JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Some privacy related extensions may cause issues on x.com. Please disable them and try again....",,83,0,0.0,already_scraped,2025-07-08T00:07:34.595528,,,,old_facebook
https://politiken.dk/danmark/oekonomi/art10357272/Der-er-en-skurk-p%C3%A5-det-k%C3%B8benhavnske-boligmarked-vi-aldrig-taler-omapr.,https://politiken.dk/danmark/oekonomi/art10357272/Der-er-en-skurk-p%C3%A5-det-k%C3%B8benhavnske-boligmarked-vi-aldrig-taler-omapr.,,"Annonce Hovedstadens ejerlejlighedspriser er ofte til debat, mens det sjældent får omtale, at andelsboliger aldrig kommer i åbent salg, fordi familie og venner fra København får en forlomme, påpeger forskere. Der er en skurk på det københavnske boligmarked, vi aldrig taler om Andelsboliger udgør en tredjedel af alle boliger i København og favoriserer københavnere, lyder det fra forskningsprofessor Rasmus Landersø. Foto: Jens Dresling Økonomi 17. april 2025, 21.28 Per Thiemann Redaktør for økonom...",,163,0,0.0,already_scraped,2025-07-08T04:17:40.532364,"Der er en skurk på det københavnske boligmarked, vi aldrig taler om",,,old_facebook
https://x.com/Kvartiboldmedie/status/1905575194921435292https://x.com/Kvartiboldmedie/status/1905575194921435292mar.,https://x.com/Kvartiboldmedie/status/1905575194921435292https://x.com/Kvartiboldmedie/status/1905575194921435292mar.,x.com,"JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Some privacy related extensions may cause issues on x.com. Please disable them and try again....",,83,200,0.0,duplicate_content,2025-07-08T02:27:43.161073,,,,old_facebook
https://t.co/SU0R5WzG3X,https://t.co/SU0R5WzG3X,,"JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Some privacy related extensions may cause issues on x.com. Please disable them and try again....",,83,0,0.0,already_scraped,2025-07-08T00:22:06.126158,,,,old_facebook
